46,SF,RB,Elijah,Mitchell,0.7,21,46,11.5,45.5,-0.5,42.93,185.86,142.93,54,100,9,54.43,31.44
47,LV,TE,Darren,Waller,0.41,5,47,10.45,47.5,0.5,36.53,161.48,124.95,47,94,6,46.98,26.07
48,LV,RB,Josh,Jacobs,0.68,22,48,7.42,48.5,0.5,46.35,189.28,142.93,52,100,6,53.77,38.93
49,PIT,WR,Diontae,Johnson,0.84,18,49,13.53,48.5,-0.5,39.05,191.45,152.4,49,98,9,52.58,25.52
50,MIA,WR,Jaylen,Waddle,0.43,19,50,19.56,49,-1,32.35,184.75,152.4,48,98,11,51.91,12.79
51,LAR,WR,Allen,Robinson,0.93,20,51,23.14,50.5,-0.5,12.92,165.32,152.4,47,98,7,36.06,-10.23
52,SEA,WR,Dk,Metcalf,0.41,21,52,10.68,52.5,0.5,32.07,184.47,152.4,46,98,11,42.75,21.39
53,BAL,RB,Jk,Dobbins,0.79,23,53,18.85,54,1,47.18,190.11,142.93,47,100,10,66.03,28.33
54,CIN,QB,Joe,Burrow,0.65,5,54,28.64,55.5,1.5,17.88,358.31,340.44,45,99,10,46.51,-10.76
55,GB,RB,Aj,Dillon,0.82,24,55,16.95,55.5,0.5,28.45,171.38,142.93,45,100,14,45.4,11.5
56,DEN,WR,Jerry,Jeudy,0.85,22,56,15.46,56,0,22.95,175.35,152.4,42,98,9,38.41,7.49
57,ARI,QB,Kyler,Murray,0.26,6,57,25.43,56.5,-0.5,42.72,383.16,340.44,42,99,13,68.15,17.28
58,DAL,TE,Dalton,Schultz,0.15,6,58,17.62,57,-1,30.55,155.5,124.95,36,94,9,48.16,12.93
59,WAS,RB,Antonio,Gibson,0.56,25,59,19.53,59,0,33.57,176.49,142.93,41,100,14,53.09,14.04
60,PHI,QB,Jalen,Hurts,0.12,7,60,23.12,60.5,0.5,35.47,375.91,340.44,39,99,7,58.59,12.35
61,HOU,WR,Brandin,Cooks,0.34,23,61,14.85,63,2,42.68,195.08,152.4,37,98,6,57.53,27.82
62,KC,WR,Juju,Smithschuster,0.91,24,62,23.26,64,2,13.39,165.79,152.4,36,98,8,36.64,-9.87
63,DET,WR,Amonra,Stbrown,0.58,25,63,16.75,65,2,29.39,181.79,152.4,35,98,6,46.14,12.64
64,KC,RB,Clyde,Edwardshelaire,0.91,26,64,12.85,66.5,2.5,26.43,169.35,142.93,36,100,8,39.27,13.58
65,BUF,WR,Gabriel,Davis,0.12,26,65,19.06,67,2,26.78,179.18,152.4,33,98,7,45.84,7.72
66,ARI,WR,Marquise,Brown,0.91,27,66,28.38,67.5,1.5,24.13,176.53,152.4,32,98,13,52.51,-4.26
67,DET,TE,Tj,Hockenson,0.74,7,67,11.93,68.5,1.5,9.4,134.35,124.95,27,94,6,21.34,-2.53
68,PHI,TE,Dallas,Goedert,0.58,8,68,13.54,70,2,15.72,140.67,124.95,26,94,7,29.25,2.18
69,NO,WR,Michael,Thomas,0.81,28,69,22.16,70,1,27.39,179.79,152.4,29,98,14,49.56,5.23
70,TB,QB,Tom,Brady,0.05,8,70,16.41,70.5,0.5,34.74,375.18,340.44,29,99,11,51.15,18.33
71,NE,RB,Damien,Harris,0.88,27,71,17.42,71,0,40.71,183.63,142.93,29,100,10,58.12,23.29
72,MIN,WR,Adam,Thielen,0.67,29,72,11.84,72,0,13.8,166.2,152.4,26,98,7,25.63,1.96
73,DEN,QB,Russell,Wilson,0.12,9,73,14.29,72,-1,0,340.44,340.44,26,99,9,14.29,-14.29
