57,CHI,WR,Darnell,Mooney,0.79,24,57,0,72,15,23.35,173.51,150.16,40,,97
58,DEN,WR,Jerry,Jeudy,0.85,25,58,0,55,-3,24.1,174.26,150.16,39,,97
59,ARI,QB,Kyler,Murray,0.26,5,59,0,56,-3,44.22,350.842,306.622,42,,101
60,PHI,QB,Jalen,Hurts,0.12,6,60,0,64,4,43.08,349.702,306.622,41,,101
61,BAL,WR,Rashod,Bateman,0.16,26,61,0,80,19,9,159.16,150.16,36,,97
62,BUF,WR,Gabriel,Davis,0.12,27,62,0,67,5,29.28,179.44,150.16,35,,97
63,MIA,RB,Chase,Edmonds,0.89,25,63,0,86,23,18.83,151.09,132.26,27,,90
64,DAL,TE,Dalton,Schultz,0.15,6,64,0,58,-6,30.52,155.07,124.55,41,,105
65,NO,WR,Michael,Thomas,0.81,28,65,0,69,4,30.02,180.18,150.16,32,,97
66,KC,RB,Clyde,Edwardshelaire,0.91,26,66,0,65,-1,38.22,170.48,132.26,24,,90
67,TB,WR,Chris,Godwin,0.58,29,67,0,71,4,24.03,174.19,150.16,30,,97
68,NE,RB,Damien,Harris,0.88,27,68,0,63,-5,47.51,179.77,132.26,22,,90
69,DET,WR,Amonra,Stbrown,0.58,30,69,0,62,-7,30.83,180.99,150.16,28,,97
70,WAS,RB,Antonio,Gibson,0.56,28,70,0,59,-11,25.07,157.33,132.26,20,,90
71,PHI,RB,Miles,Sanders,0.94,29,71,0,73,2,45.1,177.36,132.26,19,,90
72,CLE,WR,Amari,Cooper,0.53,31,72,0,66,-6,15.81,165.97,150.16,25,,97
73,KC,WR,Juju,Smithschuster,0.91,32,73,0,70,-3,17.24,167.4,150.16,24,,97
74,NYJ,WR,Elijah,Moore,0.16,33,74,0,82,8,17.16,167.32,150.16,23,,97
75,SEA,RB,Rashaad,Penny,0.66,30,75,0,85,10,28.36,160.62,132.26,15,,90
76,CLE,RB,Kareem,Hunt,0.2,31,76,0,84,8,16.15,148.41,132.26,14,,90
77,CIN,QB,Joe,Burrow,0.65,7,77,0,54,-23,17.078,323.7,306.622,24,,101
78,DAL,RB,Tony,Pollard,0.49,32,78,0,87,9,37.48,169.74,132.26,12,,90
79,NE,RB,Rhamondre,Stevenson,0.25,33,79,0,93,14,22.41,154.67,132.26,11,,90
80,PHI,TE,Dallas,Goedert,0.58,7,80,0,75,-5,15.65,140.2,124.55,25,,105
81,DET,TE,Tj,Hockenson,0.74,8,81,0,68,-13,8.37,132.92,124.55,24,,105
82,MIN,WR,Adam,Thielen,0.67,34,82,0,74,-8,16.61,166.77,150.16,15,,97
83,TB,QB,Tom,Brady,0.05,8,83,0,78,-5,30.36,336.982,306.622,18,,101
84,DEN,QB,Russell,Wilson,0.12,9,84,0,76,-8,0,306.622,306.622,17,,101
85,BUF,RB,Devin,Singletary,0.91,34,85,0,77,-8,32.49,164.75,132.26,5,,90
86,ATL,RB,Cordarrelle,Patterson,0.89,35,86,0,81,-5,31.64,163.9,132.26,4,,90
87,DAL,QB,Dak,Prescott,0.11,10,87,0,79,-8,27.104,333.726,306.622,14,,101
88,SF,WR,Brandon,Aiyuk,0.51,35,88,0,95,7,-1.78,148.38,150.16,9,,97
89,DEN,RB,Melvin,Gordon,0.92,36,89,0,98,9,8.8,141.06,132.26,1,,90
90,HOU,RB,Dameon,Pierce,0,37,90,0,110,20,0,132.26,132.26,0,,90
91,PHI,WR,Devonta,Smith,0.89,36,91,0,89,-2,0.17,150.33,150.16,6,,97
92,GB,WR,Allen,Lazard,0.15,37,92,0,102,10,-5.87,144.29,150.16,5,,97
93,ATL,WR,Drake,London,0,38,93,0,99,6,-4.02,146.14,150.16,4,,97
94,LV,WR,Hunter,Renfrow,0.63,39,94,0,83,-11,16.86,167.02,150.16,3,,97
95,SF,QB,Trey,Lance,0.1,11,95,0,100,5,8.482,315.104,306.622,6,,101
96,ARI,TE,Zach,Ertz,0.89,9,96,0,90,-6,2.1,126.65,124.55,9,,105
97,JAC,WR,Christian,Kirk,0.84,40,97,0,103,6,0,150.16,150.16,0,,97
98,SEA,WR,Tyler,Lockett,0.49,41,98,0,97,-1,20.89,171.05,150.16,-1,,97
